0,3.9895
2.8415,3.9879
5.683,3.9867
8.5245,3.9858
19.161,3.983
29.798,3.9806
40.434,3.9783
79.888,3.9703
119.34,3.9622
158.79,3.954
253.23,3.9511
347.67,3.9498
442.11,3.9481
536.55,3.9461
711.5,3.9416
886.45,3.9366
1061.4,3.9311
1236.4,3.9272
1516.6,3.922
1796.8,3.9162
2077,3.9094
2357.3,3.8924
2675.7,3.8728
2994.2,3.8531
3312.6,3.8559
3631.1,3.8594
3995.5,3.8594
4095.3,3.8516
4195,3.8438
4294.7,3.836
4821.1,3.7948
5250.8,3.771
5680.5,3.7492
6110.2,3.7241
6787.2,3.6809
7281.2,3.6605
7775.3,3.6404
8269.4,3.6245
8774.3,3.603
8927.8,3.59
9081.2,3.5768
9234.7,3.5637
9800.2,3.524
9982.7,3.5172
10165,3.5105
10348,3.5038
12173,3.4424
12898,3.412
13337,3.3828
13776,3.3492
14214,3.3152
14816,3.2614
15173,3.2267
15455,3.201
15683,3.1823
15910,3.1643
16083,3.1507
16256,3.1353
16303,3.1242
16349,3.1138
16396,3.1035
16555,3.0683
16714,3.0333
16873,2.9984
17214,2.9184
17310,2.8776
17398,2.8403
17486,2.8032
17575,2.766
17753,2.6905
17932,2.6131
17986,2.5875
18039,2.5597
18093,2.5232
18109,2.5041
18111,2.5
