0,3.6338
0.29162,3.6321
0.58325,3.6308
0.87487,3.6296
1.6015,3.6273
2.3281,3.6253
3.0546,3.6235
4.757,3.6197
6.4594,3.6162
8.1618,3.6128
12.023,3.6056
15.884,3.6035
19.746,3.6029
26.445,3.6016
33.144,3.6001
39.843,3.5985
53.227,3.5947
66.612,3.5906
79.996,3.5861
93.38,3.5814
120.51,3.5723
147.63,3.5637
174.76,3.5548
201.89,3.5457
276.87,3.5187
338.19,3.4975
399.51,3.4747
460.83,3.4387
522.15,3.4083
587.69,3.3792
653.22,3.3401
718.75,3.301
812.27,3.252
905.78,3.2106
999.3,3.1676
1145.6,3.1009
1291.9,3.0344
1379.1,2.9904
1426.5,2.9579
1474,2.9174
1521.5,2.8743
1571,2.8193
1620.5,2.7584
1637.6,2.7281
1654.7,2.6931
1671.8,2.6582
1688.9,2.6233
1716.9,2.5662
1724.1,2.5398
1731.3,2.5062
1732.6,2.5
